sample_id,repeat_family,count
HG01074#2,Alu,8
HG01074#2,ERVK,10
HG01074#2,L1,18
HG01934#2,Alu,7
HG01934#2,ERVK,10
HG01934#2,L1,24
HG01940#2,Alu,7
HG01940#2,ERVK,10
HG01940#2,L1,20
HG01969#1,Alu,8
HG01969#1,ERVK,10
HG01969#1,L1,20
HG02135#2,Alu,6
HG02135#2,ERVK,10
HG02135#2,L1,18
HG02809#2,Alu,7
HG02809#2,ERVK,10
HG02809#2,L1,20
HG03017#2,Alu,10
HG03017#2,ERVK,10
HG03017#2,L1,20
HG03579#1,Alu,7
HG03579#1,ERVK,10
HG03579#1,L1,20
HG04157#1,Alu,8
HG04157#1,ERVK,11
HG04157#1,L1,19
HG04157#2,Alu,10
HG04157#2,ERVK,10
HG04157#2,L1,20
NA20805#2,Alu,8
NA20805#2,ERVK,11
NA20805#2,L1,17
